,novel_name,author,collects,reviews,month
1766,11处特工皇妃,潇湘冬儿,98000,5500000000,609476.0
2427,修罗武神,善良的蜜蜂,2201082,3988965700,103494809.0
2426,万古仙穹,观棋,577496,1132361196,4437562.0
2425,斩龙,失落叶,3628704,1063149101,5456037.0
2424,人皇纪,皇甫奇,272013,927599865,9185087.0
2246,杀手房东俏房客,老施,997679,706544907,3714911.0
2245,美女请留步,老施,2744057,533009201,5934897.0
2244,龙血战神,风青阳,1031923,518839023,10733941.0
2243,网游之天下无双,失落叶,3221959,506158086,3857583.0
2242,我的美女老师,黑夜de白羊,846213,469590101,2120628.0
2241,傲世丹神, 寂小贼,232158,450444345,6517656.0
2240,传奇再现,伪戒,242734,424263161,14707570.0
2239,武逆,只是小虾米,351418,408241557,15772552.0
2238,我们是兄弟,纯银耳坠,2063132,400627992,4748962.0
2237,少年医仙,逐没,915794,397671415,2071149.0
2236,暧昧高手,紫气东来,554237,339259714,835179.0
2235,超级兵王,步千帆,363702,325057345,27865134.0
2234,混沌剑神,心星逍遥,448526,275722940,13383075.0
2233,吞天记,风青阳,298286,259992357,4390680.0
2232,狩魔手记,烟雨江南,6167169,258254768,809476.0
